Country,Cancer Type,Year,Total Deaths
Australia,Breast Cancer,2020,70708
Japan,Colon Cancer,2020,110593
Japan,Breast Cancer,2022,100103
France,Prostate Cancer,2019,75155
USA,Colon Cancer,2022,28382
China,Lung Cancer,2023,130274
USA,Liver Cancer,2022,98183
Germany,Breast Cancer,2019,31503
Germany,Prostate Cancer,2022,120715
USA,Breast Cancer,2023,117861
China,Liver Cancer,2020,133414
India,Prostate Cancer,2022,44834
USA,Colon Cancer,2018,71719
Australia,Lung Cancer,2018,50203
India,Prostate Cancer,2019,123422
China,Colon Cancer,2018,105943
UK,Colon Cancer,2018,64895
Brazil,Colon Cancer,2023,38426
India,Prostate Cancer,2018,57717
Canada,Colon Cancer,2020,112361
USA,Lung Cancer,2023,35964
India,Prostate Cancer,2023,10915
Canada,Liver Cancer,2019,92507
Germany,Colon Cancer,2022,127392
UK,Colon Cancer,2023,72685
UK,Breast Cancer,2022,12795
France,Prostate Cancer,2022,42944
Canada,Prostate Cancer,2018,77577
India,Lung Cancer,2022,84971
Brazil,Colon Cancer,2023,128405
France,Lung Cancer,2023,121750
Japan,Breast Cancer,2018,56431
Canada,Colon Cancer,2023,122487
India,Colon Cancer,2023,80575
Canada,Liver Cancer,2023,111445
France,Prostate Cancer,2021,99531
Germany,Prostate Cancer,2020,81352
USA,Lung Cancer,2020,119893
Germany,Breast Cancer,2023,112268
USA,Liver Cancer,2022,84128
Australia,Prostate Cancer,2020,21599
Germany,Colon Cancer,2018,77339
China,Lung Cancer,2019,61233
Germany,Prostate Cancer,2020,45934
Germany,Lung Cancer,2023,32122
Brazil,Liver Cancer,2022,108742
Japan,Lung Cancer,2022,143923
UK,Prostate Cancer,2021,17178
Canada,Prostate Cancer,2022,70538
Germany,Lung Cancer,2023,109705
Brazil,Liver Cancer,2021,55505
Canada,Prostate Cancer,2019,81961
Brazil,Breast Cancer,2023,134239
Germany,Colon Cancer,2018,149046
Brazil,Colon Cancer,2023,88647
Japan,Lung Cancer,2020,147370
France,Breast Cancer,2019,119127
France,Prostate Cancer,2023,127190
UK,Colon Cancer,2019,60715
China,Colon Cancer,2019,139946
Germany,Prostate Cancer,2022,139591
China,Colon Cancer,2021,63703
Canada,Breast Cancer,2020,126205
France,Lung Cancer,2023,127731
Japan,Breast Cancer,2019,19680
Brazil,Breast Cancer,2020,143228
Canada,Lung Cancer,2021,118455
Germany,Colon Cancer,2023,11941
Canada,Breast Cancer,2019,85752
Australia,Lung Cancer,2021,36187
France,Lung Cancer,2018,108609
UK,Breast Cancer,2020,49822
UK,Colon Cancer,2019,117573
India,Colon Cancer,2020,148425
Germany,Breast Cancer,2022,95242
France,Prostate Cancer,2019,92543
Japan,Liver Cancer,2021,9995
Japan,Liver Cancer,2019,73258
Brazil,Colon Cancer,2021,87507
UK,Lung Cancer,2023,29710
Japan,Breast Cancer,2020,64160
Germany,Lung Cancer,2023,49076
Brazil,Lung Cancer,2020,33171
Japan,Prostate Cancer,2019,76622
India,Colon Cancer,2023,94976
Australia,Breast Cancer,2018,53703
Japan,Breast Cancer,2022,57217
Brazil,Breast Cancer,2023,33592
Japan,Breast Cancer,2018,63061
USA,Liver Cancer,2022,84116
India,Liver Cancer,2018,140904
Japan,Prostate Cancer,2021,42693
India,Prostate Cancer,2022,16909
Germany,Lung Cancer,2018,147682
Japan,Prostate Cancer,2022,114630
Canada,Colon Cancer,2022,144271
Brazil,Lung Cancer,2018,90099
Australia,Colon Cancer,2019,127977
France,Liver Cancer,2020,12439
USA,Liver Cancer,2020,50042
USA,Prostate Cancer,2023,16300
Canada,Prostate Cancer,2018,73522
France,Liver Cancer,2021,95458
UK,Prostate Cancer,2019,5533
France,Breast Cancer,2023,105029
USA,Colon Cancer,2020,58410
France,Breast Cancer,2023,10943
Japan,Lung Cancer,2022,111813
Canada,Colon Cancer,2019,126924
Australia,Prostate Cancer,2019,47866
USA,Liver Cancer,2021,102264
China,Prostate Cancer,2020,106927
Canada,Lung Cancer,2018,68253
USA,Breast Cancer,2020,8630
Canada,Prostate Cancer,2018,109802
Australia,Prostate Cancer,2022,101236
Brazil,Breast Cancer,2020,58652
Australia,Breast Cancer,2021,41395
India,Prostate Cancer,2023,58509
France,Breast Cancer,2023,45446
USA,Colon Cancer,2023,139794
Brazil,Colon Cancer,2019,114975
China,Liver Cancer,2023,60572
Canada,Lung Cancer,2019,142861
USA,Breast Cancer,2023,31358
Japan,Lung Cancer,2021,137702
France,Liver Cancer,2019,92016
Canada,Lung Cancer,2019,18468
Japan,Colon Cancer,2018,119812
Brazil,Prostate Cancer,2021,105400
India,Liver Cancer,2022,62482
Canada,Breast Cancer,2020,34212
France,Liver Cancer,2023,24815
China,Prostate Cancer,2019,135096
France,Colon Cancer,2019,86915
China,Lung Cancer,2019,38614
France,Colon Cancer,2022,148611
Australia,Prostate Cancer,2018,137721
France,Lung Cancer,2018,109774
India,Breast Cancer,2018,70960
UK,Liver Cancer,2021,94088
India,Liver Cancer,2018,100915
USA,Lung Cancer,2023,20774
UK,Liver Cancer,2019,45882
Australia,Liver Cancer,2021,115674
Brazil,Prostate Cancer,2022,122289
Australia,Breast Cancer,2023,17065
China,Liver Cancer,2022,83766
UK,Breast Cancer,2021,10440
Australia,Colon Cancer,2018,135321
France,Prostate Cancer,2018,79553
Canada,Prostate Cancer,2023,26307
USA,Breast Cancer,2018,63402
India,Lung Cancer,2019,100851
Germany,Liver Cancer,2022,109782
Australia,Lung Cancer,2019,107511
Japan,Prostate Cancer,2018,145645
Germany,Lung Cancer,2020,62053
Brazil,Lung Cancer,2019,86719
Germany,Prostate Cancer,2022,110768
Canada,Prostate Cancer,2019,145358
USA,Lung Cancer,2019,127433
India,Colon Cancer,2022,148578
Japan,Liver Cancer,2023,34891
China,Breast Cancer,2021,32394
India,Lung Cancer,2019,56241
Germany,Liver Cancer,2022,130805
Brazil,Colon Cancer,2023,121674
UK,Breast Cancer,2023,34213
Japan,Prostate Cancer,2023,105968
UK,Breast Cancer,2023,37375
Canada,Lung Cancer,2018,24682
Canada,Colon Cancer,2023,120710
USA,Colon Cancer,2022,89156
Germany,Breast Cancer,2018,55523
France,Liver Cancer,2022,116787
UK,Colon Cancer,2019,87467
USA,Breast Cancer,2018,73873
Brazil,Lung Cancer,2019,107402
India,Liver Cancer,2022,89781
USA,Lung Cancer,2023,53713
China,Lung Cancer,2021,93472
Canada,Breast Cancer,2018,5116
UK,Colon Cancer,2020,70690
France,Liver Cancer,2023,103426
China,Colon Cancer,2019,22224
France,Lung Cancer,2020,25182
Brazil,Breast Cancer,2022,86611
UK,Liver Cancer,2019,85741
Japan,Liver Cancer,2019,61629
UK,Prostate Cancer,2020,121234
India,Colon Cancer,2021,121278
China,Liver Cancer,2021,54041
UK,Liver Cancer,2023,38909
France,Liver Cancer,2019,58658
China,Breast Cancer,2021,110317
UK,Colon Cancer,2018,55665
UK,Breast Cancer,2023,116308
France,Prostate Cancer,2018,90470
Brazil,Colon Cancer,2021,94829
Canada,Breast Cancer,2020,53744
Australia,Lung Cancer,2019,21850
Brazil,Liver Cancer,2019,45908
Canada,Liver Cancer,2018,120445
India,Breast Cancer,2021,36855
Australia,Prostate Cancer,2019,15904
UK,Lung Cancer,2018,65153
UK,Lung Cancer,2020,142898
Japan,Lung Cancer,2022,73129
Brazil,Liver Cancer,2023,133418
China,Breast Cancer,2020,122868
Japan,Breast Cancer,2023,90030
UK,Lung Cancer,2022,63397
China,Lung Cancer,2023,101623
Canada,Prostate Cancer,2019,103321
India,Liver Cancer,2018,112238
Canada,Breast Cancer,2019,87476
UK,Colon Cancer,2019,108598
Brazil,Prostate Cancer,2023,149954
Brazil,Prostate Cancer,2018,7188
France,Prostate Cancer,2020,119794
China,Prostate Cancer,2020,29776
Japan,Breast Cancer,2022,73164
Japan,Colon Cancer,2019,141052
Japan,Liver Cancer,2022,44142
Germany,Prostate Cancer,2021,145548
Canada,Lung Cancer,2018,20523
China,Colon Cancer,2020,140870
Japan,Lung Cancer,2021,16083
India,Liver Cancer,2018,20850
Japan,Breast Cancer,2020,27345
Australia,Colon Cancer,2020,96091
China,Liver Cancer,2023,123206
UK,Liver Cancer,2021,64195
Japan,Liver Cancer,2021,58040
Canada,Breast Cancer,2020,120790
Germany,Colon Cancer,2023,35082
Germany,Breast Cancer,2020,72151
China,Colon Cancer,2020,20453
France,Prostate Cancer,2021,24108
USA,Breast Cancer,2019,55563
USA,Lung Cancer,2018,55956
India,Colon Cancer,2021,113461
France,Prostate Cancer,2023,143531
Germany,Prostate Cancer,2019,149708
Japan,Breast Cancer,2018,90225
USA,Prostate Cancer,2023,97226
France,Breast Cancer,2018,139496
USA,Liver Cancer,2018,124575
China,Breast Cancer,2018,70013
Japan,Lung Cancer,2018,56545
Japan,Liver Cancer,2020,35197
UK,Prostate Cancer,2019,106581
Australia,Colon Cancer,2019,20529
Brazil,Liver Cancer,2020,41730
Germany,Colon Cancer,2023,37110
China,Prostate Cancer,2018,31199
Brazil,Lung Cancer,2021,35066
Australia,Lung Cancer,2022,141128
USA,Breast Cancer,2023,128113
France,Liver Cancer,2018,136378
Germany,Liver Cancer,2019,137283
Australia,Colon Cancer,2019,58890
UK,Breast Cancer,2020,141155
Japan,Breast Cancer,2018,81567
China,Lung Cancer,2022,36435
Australia,Colon Cancer,2022,98303
China,Liver Cancer,2023,100491
UK,Colon Cancer,2019,35457
UK,Lung Cancer,2020,146389
USA,Breast Cancer,2022,48376
India,Breast Cancer,2022,119567
Brazil,Prostate Cancer,2023,104319
Japan,Prostate Cancer,2019,143309
France,Liver Cancer,2020,100039
USA,Breast Cancer,2021,74117
USA,Prostate Cancer,2021,35935
Japan,Prostate Cancer,2023,8690
China,Liver Cancer,2023,129137
China,Liver Cancer,2022,127648
France,Lung Cancer,2022,118881
UK,Liver Cancer,2023,25283
USA,Colon Cancer,2018,139580
UK,Breast Cancer,2020,39368
India,Lung Cancer,2019,77662
USA,Liver Cancer,2023,115298
USA,Lung Cancer,2021,142275
Germany,Prostate Cancer,2021,119287
Germany,Breast Cancer,2020,100040
UK,Colon Cancer,2019,42495
France,Breast Cancer,2018,48466
China,Colon Cancer,2023,89738
Germany,Colon Cancer,2020,146383
France,Prostate Cancer,2023,55946
China,Liver Cancer,2018,139500
UK,Liver Cancer,2023,91543
India,Liver Cancer,2022,81120
Brazil,Liver Cancer,2022,116844
Canada,Breast Cancer,2023,5266
China,Colon Cancer,2019,58370
USA,Prostate Cancer,2020,87300
India,Liver Cancer,2023,96103
UK,Lung Cancer,2021,8990
France,Liver Cancer,2021,60966
Brazil,Liver Cancer,2023,114004
Brazil,Colon Cancer,2018,92587
China,Prostate Cancer,2020,127501
Brazil,Lung Cancer,2020,31901
Germany,Prostate Cancer,2020,9924
China,Colon Cancer,2020,69869
Australia,Lung Cancer,2023,86671
India,Colon Cancer,2018,148219
Germany,Prostate Cancer,2019,44585
Japan,Lung Cancer,2020,144975
Australia,Lung Cancer,2023,133289
Brazil,Liver Cancer,2019,97333
Canada,Prostate Cancer,2023,71723
Canada,Colon Cancer,2020,80382
China,Colon Cancer,2021,13429
China,Prostate Cancer,2022,25271
Canada,Breast Cancer,2023,36787
UK,Liver Cancer,2020,19694
China,Lung Cancer,2022,79601
Japan,Colon Cancer,2021,62536
China,Lung Cancer,2021,145097
India,Breast Cancer,2022,12209
Germany,Prostate Cancer,2022,43940
USA,Colon Cancer,2020,86236
Japan,Breast Cancer,2023,126311
India,Lung Cancer,2023,16574
France,Liver Cancer,2022,31551
France,Prostate Cancer,2022,130849
USA,Colon Cancer,2018,123573
Germany,Breast Cancer,2020,39962
Australia,Lung Cancer,2018,28993
Australia,Colon Cancer,2018,138583
Germany,Lung Cancer,2021,63372
France,Lung Cancer,2021,145518
China,Breast Cancer,2023,147444
USA,Breast Cancer,2023,140820
France,Lung Cancer,2022,65104
UK,Lung Cancer,2018,134594
France,Lung Cancer,2021,64103
USA,Liver Cancer,2021,139421
Japan,Colon Cancer,2021,30372
Australia,Breast Cancer,2021,117896
USA,Lung Cancer,2020,107699
China,Lung Cancer,2018,20251
China,Colon Cancer,2023,16635
Germany,Liver Cancer,2023,107724
India,Colon Cancer,2019,72807
Australia,Prostate Cancer,2022,127289
France,Prostate Cancer,2018,107413
Germany,Lung Cancer,2021,133018
India,Lung Cancer,2018,94725
India,Prostate Cancer,2022,100467
Brazil,Colon Cancer,2023,112950
India,Colon Cancer,2022,94258
USA,Colon Cancer,2018,62037
USA,Colon Cancer,2019,137412
France,Liver Cancer,2019,22740
USA,Breast Cancer,2018,44203
USA,Liver Cancer,2022,101088
France,Lung Cancer,2019,59918
Brazil,Prostate Cancer,2023,61905
Australia,Colon Cancer,2021,27162
India,Colon Cancer,2021,82945
USA,Breast Cancer,2022,146046
Japan,Lung Cancer,2021,40917
Canada,Prostate Cancer,2023,149702
Canada,Liver Cancer,2020,106891
Japan,Prostate Cancer,2019,119550
Brazil,Lung Cancer,2019,80004
Australia,Prostate Cancer,2020,142420
France,Breast Cancer,2020,135637
Brazil,Lung Cancer,2019,143959
Germany,Lung Cancer,2023,97386
Brazil,Colon Cancer,2018,149600
Australia,Breast Cancer,2020,9919
Canada,Liver Cancer,2021,78618
Australia,Lung Cancer,2023,100196
Japan,Prostate Cancer,2023,139441
Australia,Breast Cancer,2022,148551
Canada,Lung Cancer,2023,112045
India,Colon Cancer,2018,134416
Brazil,Colon Cancer,2023,64147
Canada,Prostate Cancer,2023,145169
India,Breast Cancer,2023,49291
Japan,Liver Cancer,2020,51004
China,Liver Cancer,2022,124186
France,Colon Cancer,2020,58435
Australia,Liver Cancer,2020,39603
Canada,Lung Cancer,2023,135583
India,Liver Cancer,2021,47769
Canada,Colon Cancer,2023,142454
India,Colon Cancer,2022,73364
Australia,Liver Cancer,2020,73567
Australia,Colon Cancer,2023,58047
Australia,Prostate Cancer,2020,87410
UK,Breast Cancer,2018,102322
France,Breast Cancer,2021,85595
China,Liver Cancer,2019,8934
Japan,Prostate Cancer,2023,148007
India,Breast Cancer,2018,103376
USA,Liver Cancer,2023,35842
India,Breast Cancer,2022,75863
Brazil,Breast Cancer,2018,35962
Canada,Liver Cancer,2023,50437
UK,Liver Cancer,2019,30026
India,Lung Cancer,2022,63120
Japan,Prostate Cancer,2018,95182
China,Liver Cancer,2022,98555
USA,Lung Cancer,2019,132486
Japan,Liver Cancer,2023,29148
Canada,Prostate Cancer,2022,107477
France,Liver Cancer,2021,98833
Canada,Colon Cancer,2022,124364
Brazil,Prostate Cancer,2018,81385
Germany,Prostate Cancer,2022,80257
USA,Liver Cancer,2022,128577
Germany,Breast Cancer,2022,122913
France,Prostate Cancer,2019,110775
Canada,Prostate Cancer,2023,13311
Brazil,Prostate Cancer,2019,88559
Brazil,Colon Cancer,2022,5203
Japan,Breast Cancer,2019,86554
India,Breast Cancer,2022,21925
China,Prostate Cancer,2020,126640
China,Colon Cancer,2023,37898
Australia,Colon Cancer,2020,6193
UK,Lung Cancer,2019,109436
China,Liver Cancer,2020,129522
Brazil,Breast Cancer,2019,117465
China,Lung Cancer,2020,116274
Germany,Prostate Cancer,2019,19556
Japan,Lung Cancer,2020,106895
USA,Prostate Cancer,2023,142967
USA,Breast Cancer,2020,126016
Australia,Prostate Cancer,2023,76042
China,Prostate Cancer,2018,102869
USA,Prostate Cancer,2022,128025
Canada,Breast Cancer,2020,29937
India,Prostate Cancer,2018,143785
USA,Breast Cancer,2023,111697
India,Breast Cancer,2018,76523
France,Prostate Cancer,2020,43254
Australia,Colon Cancer,2019,91644
Brazil,Lung Cancer,2019,94378
Australia,Lung Cancer,2021,101086
China,Colon Cancer,2020,53287
Japan,Liver Cancer,2018,33855
India,Liver Cancer,2022,30588
Japan,Breast Cancer,2019,50519
UK,Colon Cancer,2023,116541
China,Breast Cancer,2020,22168
UK,Prostate Cancer,2019,130056
France,Colon Cancer,2022,121105
France,Prostate Cancer,2020,32017
Germany,Prostate Cancer,2023,48312
Germany,Prostate Cancer,2022,58555
Japan,Liver Cancer,2022,70043
China,Colon Cancer,2022,62254
India,Prostate Cancer,2023,115442
Brazil,Prostate Cancer,2018,83963
Australia,Lung Cancer,2022,94110
Japan,Colon Cancer,2020,147586
France,Breast Cancer,2018,78262
China,Liver Cancer,2019,142313
USA,Colon Cancer,2023,28195
Brazil,Lung Cancer,2018,128182
China,Colon Cancer,2022,22456
Australia,Colon Cancer,2020,43610
Brazil,Liver Cancer,2023,77797
Japan,Colon Cancer,2023,43750
Australia,Liver Cancer,2018,95384
Australia,Liver Cancer,2020,116144
India,Lung Cancer,2019,5797
Australia,Prostate Cancer,2023,32016
USA,Liver Cancer,2022,102814
Germany,Lung Cancer,2021,110645
USA,Prostate Cancer,2021,122351
Australia,Prostate Cancer,2021,66126
Japan,Lung Cancer,2022,124742
Japan,Colon Cancer,2018,66719
USA,Liver Cancer,2018,32180
China,Liver Cancer,2023,65374
China,Breast Cancer,2023,115146
Japan,Lung Cancer,2019,96075
UK,Liver Cancer,2019,21171
USA,Prostate Cancer,2023,121464
China,Lung Cancer,2023,82368
Germany,Breast Cancer,2023,28452
Brazil,Lung Cancer,2021,75718
Germany,Liver Cancer,2018,100859
USA,Lung Cancer,2021,50616
USA,Prostate Cancer,2021,9129
China,Colon Cancer,2019,69389
USA,Prostate Cancer,2019,45214
India,Lung Cancer,2021,109615
France,Colon Cancer,2022,57635
China,Breast Cancer,2021,40347
India,Colon Cancer,2018,70490
Germany,Breast Cancer,2023,129514
India,Prostate Cancer,2022,62200
USA,Colon Cancer,2018,21429
India,Colon Cancer,2022,120998
Australia,Prostate Cancer,2021,126348
Canada,Lung Cancer,2022,73650
India,Prostate Cancer,2019,142604
UK,Breast Cancer,2020,59687
France,Prostate Cancer,2020,37851
China,Prostate Cancer,2023,27206
China,Lung Cancer,2023,102684
Germany,Prostate Cancer,2019,14327
Australia,Breast Cancer,2022,7167
Brazil,Prostate Cancer,2020,64970
UK,Colon Cancer,2022,66288
India,Prostate Cancer,2023,107683
UK,Lung Cancer,2018,106464
India,Liver Cancer,2022,30951
India,Breast Cancer,2020,74879
China,Breast Cancer,2022,138510
France,Prostate Cancer,2019,97976
India,Lung Cancer,2023,47226
Japan,Lung Cancer,2019,44197
Australia,Colon Cancer,2020,9577
USA,Breast Cancer,2022,123347
India,Liver Cancer,2019,24601
USA,Lung Cancer,2023,17335
Japan,Prostate Cancer,2020,131774
Canada,Lung Cancer,2019,85510
China,Liver Cancer,2023,95859
Canada,Liver Cancer,2021,60697
Germany,Liver Cancer,2023,11616
Japan,Breast Cancer,2018,100715
Australia,Liver Cancer,2019,117241
China,Prostate Cancer,2022,141797
Canada,Lung Cancer,2021,143247
UK,Liver Cancer,2020,27931
USA,Prostate Cancer,2022,16014
Canada,Colon Cancer,2022,138640
France,Colon Cancer,2019,138839
USA,Prostate Cancer,2018,47739
France,Breast Cancer,2021,123570
Japan,Liver Cancer,2020,5796
Brazil,Lung Cancer,2023,130238
India,Breast Cancer,2018,26758
Brazil,Colon Cancer,2021,98734
USA,Liver Cancer,2019,144362
Canada,Liver Cancer,2022,103621
France,Colon Cancer,2021,31567
China,Liver Cancer,2018,15240
India,Prostate Cancer,2022,106213
Canada,Liver Cancer,2022,7637
France,Breast Cancer,2022,124649
USA,Liver Cancer,2022,67274
Japan,Liver Cancer,2018,136630
UK,Colon Cancer,2019,72952
UK,Colon Cancer,2018,36590
India,Lung Cancer,2019,139289
Australia,Lung Cancer,2021,103082
Germany,Lung Cancer,2022,75732
China,Liver Cancer,2021,7112
UK,Liver Cancer,2021,99552
Brazil,Prostate Cancer,2023,149738
USA,Lung Cancer,2022,71346
Brazil,Breast Cancer,2018,78096
Canada,Breast Cancer,2022,20926
Canada,Liver Cancer,2023,116262
India,Prostate Cancer,2023,129626
Brazil,Prostate Cancer,2020,124505
USA,Colon Cancer,2019,122637
UK,Breast Cancer,2019,108774
Germany,Breast Cancer,2020,28096
USA,Colon Cancer,2023,92837
Canada,Lung Cancer,2021,60860
Brazil,Lung Cancer,2018,122111
India,Colon Cancer,2018,48940
USA,Liver Cancer,2021,137820
France,Colon Cancer,2023,105669
Brazil,Prostate Cancer,2023,54307
France,Breast Cancer,2023,143510
Brazil,Breast Cancer,2023,109426
Brazil,Prostate Cancer,2020,132405
Brazil,Colon Cancer,2020,119360
France,Lung Cancer,2022,66121
Japan,Liver Cancer,2020,79955
India,Liver Cancer,2018,42204
USA,Lung Cancer,2022,13883
Brazil,Prostate Cancer,2019,118739
Japan,Prostate Cancer,2018,42691
Germany,Prostate Cancer,2020,30953
USA,Prostate Cancer,2018,100467
UK,Prostate Cancer,2022,90796
Australia,Colon Cancer,2018,84622
UK,Prostate Cancer,2020,57203
Germany,Lung Cancer,2020,68328
Germany,Colon Cancer,2018,8551
Japan,Breast Cancer,2021,102636
Japan,Lung Cancer,2021,51395
France,Colon Cancer,2018,47119
Australia,Breast Cancer,2020,7568
China,Prostate Cancer,2019,36748
India,Lung Cancer,2019,133899
USA,Lung Cancer,2020,146322
India,Colon Cancer,2018,110769
UK,Colon Cancer,2018,81974
India,Colon Cancer,2023,48812
Brazil,Breast Cancer,2023,76212
UK,Prostate Cancer,2018,138525
Canada,Lung Cancer,2019,8404
Brazil,Breast Cancer,2019,127908
Canada,Lung Cancer,2018,135523
Australia,Lung Cancer,2019,146294
India,Lung Cancer,2018,52189
Brazil,Liver Cancer,2019,77323
India,Lung Cancer,2019,131919
Germany,Lung Cancer,2020,87029
UK,Colon Cancer,2022,62596
Australia,Prostate Cancer,2022,76949
Canada,Prostate Cancer,2020,79183
USA,Prostate Cancer,2019,135896
Canada,Lung Cancer,2023,123577
Japan,Breast Cancer,2020,113707
Canada,Lung Cancer,2018,9392
Brazil,Lung Cancer,2021,33750
USA,Breast Cancer,2022,82798
India,Prostate Cancer,2020,107648
Australia,Breast Cancer,2022,72693
France,Colon Cancer,2019,27774
UK,Prostate Cancer,2019,115839
China,Prostate Cancer,2019,85538
UK,Breast Cancer,2019,126195
Australia,Colon Cancer,2020,75896
USA,Breast Cancer,2020,113103
France,Breast Cancer,2018,122102
France,Prostate Cancer,2020,123868
China,Prostate Cancer,2019,62607
Brazil,Colon Cancer,2019,86111
Australia,Lung Cancer,2021,43154
Canada,Colon Cancer,2023,122080
Brazil,Prostate Cancer,2020,128746
Australia,Breast Cancer,2021,129742
USA,Prostate Cancer,2021,137373
France,Prostate Cancer,2022,69035
Australia,Prostate Cancer,2020,33003
India,Prostate Cancer,2022,69985
USA,Lung Cancer,2020,51067
Japan,Lung Cancer,2021,9506
Canada,Prostate Cancer,2022,111819
Germany,Lung Cancer,2020,122477
Brazil,Colon Cancer,2023,36396
China,Prostate Cancer,2023,9591
Japan,Colon Cancer,2023,130203
Germany,Breast Cancer,2022,23858
USA,Colon Cancer,2022,72240
Japan,Prostate Cancer,2021,137125
Japan,Colon Cancer,2021,53358
Brazil,Breast Cancer,2019,122958
India,Breast Cancer,2023,37104
Germany,Lung Cancer,2021,42664
USA,Lung Cancer,2020,40243
France,Lung Cancer,2021,21507
Brazil,Colon Cancer,2020,131144
India,Liver Cancer,2018,18332
China,Colon Cancer,2021,141242
India,Lung Cancer,2020,56655
Japan,Prostate Cancer,2020,6474
USA,Prostate Cancer,2020,101886
China,Lung Cancer,2023,70216
France,Liver Cancer,2022,111778
Australia,Prostate Cancer,2022,21370
China,Liver Cancer,2021,85776
China,Breast Cancer,2021,106776
France,Lung Cancer,2018,137047
USA,Lung Cancer,2019,41901
UK,Breast Cancer,2023,123325
USA,Colon Cancer,2023,62440
India,Breast Cancer,2019,25592
Brazil,Breast Cancer,2021,66898
Germany,Lung Cancer,2022,24182
USA,Prostate Cancer,2019,37045
USA,Lung Cancer,2018,116397
Germany,Breast Cancer,2020,41213
Germany,Liver Cancer,2019,56737
Canada,Liver Cancer,2022,52233
France,Colon Cancer,2020,129530
Japan,Breast Cancer,2021,13926
USA,Lung Cancer,2019,132798
Brazil,Colon Cancer,2018,113211
UK,Prostate Cancer,2023,136864
Brazil,Liver Cancer,2020,123142
Japan,Prostate Cancer,2022,126192
USA,Lung Cancer,2023,96573
UK,Breast Cancer,2022,60616
China,Liver Cancer,2022,119976
UK,Breast Cancer,2021,16940
France,Breast Cancer,2020,75445
Japan,Colon Cancer,2023,142712
Australia,Prostate Cancer,2022,45602
India,Liver Cancer,2018,10442
UK,Colon Cancer,2022,37463
Canada,Colon Cancer,2023,27921
Japan,Prostate Cancer,2022,75075
France,Lung Cancer,2023,9750
Japan,Breast Cancer,2019,80588
USA,Lung Cancer,2018,137545
USA,Liver Cancer,2020,52040
UK,Liver Cancer,2020,46776
France,Liver Cancer,2023,49640
Australia,Breast Cancer,2020,44331
Australia,Breast Cancer,2019,61077
Brazil,Prostate Cancer,2023,79260
Germany,Breast Cancer,2018,74548
USA,Liver Cancer,2023,37286
Brazil,Lung Cancer,2018,137823
Japan,Breast Cancer,2020,29931
Canada,Lung Cancer,2023,101808
UK,Breast Cancer,2019,91424
Japan,Prostate Cancer,2021,125486
Australia,Prostate Cancer,2023,90449
Germany,Colon Cancer,2022,146839
Australia,Colon Cancer,2022,97162
China,Lung Cancer,2023,85305
Japan,Lung Cancer,2021,41513
China,Liver Cancer,2019,28483
Germany,Lung Cancer,2018,19292
UK,Liver Cancer,2019,126709
China,Liver Cancer,2020,115465
Canada,Liver Cancer,2020,20860
Canada,Breast Cancer,2019,11648
Japan,Liver Cancer,2022,88060
Brazil,Prostate Cancer,2023,106602
USA,Lung Cancer,2020,86415
Australia,Lung Cancer,2020,23295
India,Breast Cancer,2023,106652
China,Prostate Cancer,2022,118949
Germany,Prostate Cancer,2020,113945
France,Lung Cancer,2019,102608
China,Liver Cancer,2019,89127
France,Colon Cancer,2019,102445
Australia,Colon Cancer,2019,91083
UK,Prostate Cancer,2022,137961
France,Colon Cancer,2021,134298
France,Lung Cancer,2019,41395
Japan,Prostate Cancer,2020,45097
China,Prostate Cancer,2023,45909
Canada,Prostate Cancer,2021,73132
India,Prostate Cancer,2019,90877
USA,Breast Cancer,2022,36743
Australia,Breast Cancer,2023,26084
France,Breast Cancer,2018,56958
Canada,Colon Cancer,2021,47136
Canada,Liver Cancer,2022,138818
France,Colon Cancer,2019,20628
Germany,Breast Cancer,2022,87881
China,Lung Cancer,2022,74512
France,Liver Cancer,2020,69000
UK,Prostate Cancer,2023,47748
France,Colon Cancer,2019,75320
Germany,Colon Cancer,2021,57998
India,Liver Cancer,2022,10426
India,Prostate Cancer,2023,129812
China,Breast Cancer,2023,103018
USA,Lung Cancer,2021,121352
UK,Breast Cancer,2021,90684
Australia,Colon Cancer,2018,124663
Germany,Breast Cancer,2023,134637
Australia,Breast Cancer,2019,128692
Australia,Lung Cancer,2019,81040
India,Breast Cancer,2020,10783
France,Prostate Cancer,2020,8336
Brazil,Prostate Cancer,2021,49674
Japan,Lung Cancer,2018,20818
China,Colon Cancer,2023,87357
Canada,Breast Cancer,2021,149497
Australia,Breast Cancer,2018,27169
USA,Breast Cancer,2019,90797
Japan,Lung Cancer,2021,70030
UK,Colon Cancer,2018,59662
Australia,Lung Cancer,2018,62053
USA,Breast Cancer,2019,58324
UK,Breast Cancer,2018,7803
France,Lung Cancer,2020,19240
France,Liver Cancer,2021,47396
China,Lung Cancer,2019,19485
Brazil,Prostate Cancer,2021,84611
Germany,Prostate Cancer,2018,61843
Australia,Liver Cancer,2022,93053
Brazil,Colon Cancer,2023,108997
USA,Breast Cancer,2023,12594
China,Breast Cancer,2023,23939
China,Colon Cancer,2018,124618
Germany,Breast Cancer,2020,108771
Australia,Colon Cancer,2022,85238
Canada,Breast Cancer,2018,104251
Germany,Colon Cancer,2023,12603
UK,Lung Cancer,2018,107522
USA,Liver Cancer,2019,35491
